Wavelength(nm)	Intensity(counts)
870.89	-19.00
871.33	-23.00
871.76	4.00
872.19	-12.00
872.62	-14.00
873.05	-47.00
873.49	-15.00
873.92	-11.00
874.35	-12.00
874.78	-9.00
875.21	-7.00
875.64	18.00
876.08	2.00
876.51	2.00
876.94	-12.00
877.37	-25.00
877.80	-7.00
878.23	5.00
878.67	8.00
879.10	4.00
879.53	-3.00
879.96	-5.00
880.39	3.00
880.82	-20.00
881.25	-17.00
881.69	-20.00
882.12	2.00
882.55	-23.00
882.98	-17.00
883.41	-8.00
883.84	-7.00
884.27	-17.00
884.70	-21.00
885.14	19.00
885.57	-14.00
886.00	-6.00
886.43	-9.00
886.86	20.00
887.29	-10.00
887.72	10.00
888.15	-9.00
888.58	-25.00
889.02	10.00
889.45	-10.00
889.88	2.00
890.31	-11.00
890.74	5.00
891.17	-7.00
891.60	11.00
892.03	-6.00
892.46	23.00
892.89	7.00
893.32	-40.00
893.75	-10.00
894.18	-13.00
894.61	7.00
895.05	8.00
895.48	38.00
895.91	16.00
896.34	6.00
896.77	-4.00
897.20	-10.00
897.63	-14.00
898.06	19.00
898.49	3.00
898.92	11.00
899.35	12.00
899.78	1.00
900.21	-27.00
900.64	-37.00
901.07	-8.00
901.50	14.00
901.93	7.00
902.36	-3.00
902.79	-5.00
903.22	-12.00
903.65	2.00
904.08	0.00
904.51	-4.00
904.94	8.00
905.37	5.00
905.80	-12.00
906.23	4.00
906.66	-19.00
907.09	-8.00
907.52	-9.00
907.95	-26.00
908.38	-6.00
908.81	-8.00
909.24	18.00
909.67	-11.00
910.10	-18.00
910.53	7.00
910.96	-13.00
911.38	-4.00
911.81	12.00
912.24	-6.00
912.67	-13.00
913.10	22.00
913.53	14.00
913.96	-15.00
