Data Point Listing of File C:\Documents and Settings\NMR\Desktop\FPraktikum\2021\16122021\centerfrquency-1.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	kHz
18959.422	-9381.400	-332.031
3555.725	-28661.545	-334.473
6585.914	-7589.867	-336.914
27640.742	-16900.023	-339.355
6736.428	-14374.265	-341.797
18003.840	-18783.371	-344.238
14203.652	-1770.221	-346.680
7070.596	-4489.649	-349.121
-3821.642	-13706.287	-351.563
9479.966	-10989.853	-354.004
8694.711	-4218.216	-356.445
24068.172	-8491.812	-358.887
15186.473	-8341.473	-361.328
17651.408	-17937.469	-363.770
3881.445	-18481.109	-366.211
11357.557	-4363.787	-368.652
13910.194	1175.540	-371.094
16962.049	-5887.075	-373.535
3625.098	-15199.979	-375.977
21943.625	-8102.836	-378.418
12384.585	-14972.703	-380.859
7800.152	-4615.013	-383.301
9790.000	-1944.150	-385.742
5762.120	-4086.503	-388.184
13984.828	-7316.402	-390.625
9057.859	2408.140	-393.066
12593.107	737.158	-395.508
13748.148	-3918.502	-397.949
6989.049	-13025.284	-400.391
13539.731	-15064.121	-402.832
26016.773	-3165.539	-405.273
4029.666	2635.785	-407.715
14020.916	-14198.868	-410.156
11956.621	-13495.842	-412.598
9831.617	-20652.945	-415.039
-7140.967	-14719.380	-417.480
1238.731	-20011.248	-419.922
12175.605	-11083.372	-422.363
5109.539	-7668.964	-424.805
11168.135	-7195.114	-427.246
24527.191	-16737.037	-429.688
-2560.577	-15186.008	-432.129
11603.885	-18438.324	-434.570
8000.834	-5083.339	-437.012
729.406	-9193.096	-439.453
3578.075	-13301.191	-441.895
14628.101	-1492.760	-444.336
10097.081	690.241	-446.777
9433.828	-21126.213	-449.219
6192.460	-14038.082	-451.660
10572.049	-447.708	-454.102
-2279.935	-10110.904	-456.543
11747.127	-10911.305	-458.984
7432.845	-7688.287	-461.426
15238.654	-4139.774	-463.867
3948.973	-16867.492	-466.309
8433.693	-940.588	-468.750
12160.971	-8841.605	-471.191
9249.013	-12651.620	-473.633
10819.449	-8286.500	-476.074
8788.777	-11576.240	-478.516
5150.783	-19891.480	-480.957
6039.769	244.811	-483.398
3923.279	-5516.106	-485.840
8702.031	-4424.324	-488.281
13336.257	-6700.118	-490.723
10428.547	-1931.561	-493.164
13135.559	-2871.996	-495.605
11140.625	-3792.368	-498.047
9747.191	-9947.883	-500.488
18557.508	-10003.998	-502.930
6444.051	-2247.243	-505.371
6258.839	2411.452	-507.813
10500.530	-14278.140	-510.254
-1406.004	-21507.162	-512.695
15649.729	-13140.418	-515.137
13385.956	-9091.916	-517.578
2493.407	-6454.018	-520.020
5040.984	-2259.319	-522.461
3535.764	-16181.092	-524.902
2209.870	-14588.494	-527.344
5681.299	-7107.867	-529.785
9508.800	-12113.246	-532.227
13865.654	-5290.036	-534.668
-516.943	39.958	-537.109
12808.044	4090.400	-539.551
-301.048	-2545.796	-541.992
3041.896	-8435.778	-544.434
10777.929	-10185.695	-546.875
13376.085	-1015.128	-549.316
12315.813	-13746.648	-551.758
12228.972	-19949.305	-554.199
11184.375	-8721.510	-556.641
794.274	3037.102	-559.082
12446.812	-4802.610	-561.523
280.311	-13938.066	-563.965
7902.761	-6301.276	-566.406
5459.279	-6011.853	-568.848
16982.465	1964.927	-571.289
8679.845	-1400.234	-573.730
12753.556	-5159.771	-576.172
5867.406	-20386.602	-578.613
5127.135	-17847.688	-581.055
9690.934	-16919.086	-583.496
5720.406	-11569.219	-585.938
150.769	1362.507	-588.379
9126.088	1321.112	-590.820
13716.744	-5698.847	-593.262
5842.113	-11413.960	-595.703
11734.055	-6502.020	-598.145
-3618.970	-7101.528	-600.586
9166.604	-19461.639	-603.027
13591.988	-11336.022	-605.469
292.803	-11164.364	-607.910
10787.650	-15351.467	-610.352
11349.403	759.881	-612.793
-3572.755	-4568.582	-615.234
8943.388	-2087.212	-617.676
10489.061	2692.978	-620.117
2461.417	-2419.815	-622.559
4200.344	-14023.172	-625.000
-10187.735	-3052.074	-627.441
7881.548	1439.417	-629.883
270.711	-801.210	-632.324
9894.688	-18684.498	-634.766
10548.399	-10944.297	-637.207
11166.872	-4261.867	-639.648
5585.782	-5409.671	-642.090
212.331	-12249.417	-644.531
-1759.277	-7497.842	-646.973
-1215.668	-8073.815	-649.414
9144.509	-7412.065	-651.855
13188.570	-8393.781	-654.297
-824.592	-5155.739	-656.738
15717.297	-7465.042	-659.180
9637.606	2868.032	-661.621
6927.337	467.614	-664.063
655.104	-1657.037	-666.504
-1296.290	-3842.411	-668.945
10732.301	-7395.540	-671.387
-149.645	-3619.561	-673.828
7882.422	-3853.139	-676.270
12478.993	-2094.977	-678.711
7459.194	-8164.816	-681.152
10235.449	-7941.901	-683.594
12550.830	-1976.929	-686.035
6512.416	-3325.598	-688.477
-1523.695	-3326.236	-690.918
8790.617	-1896.775	-693.359
5085.943	10311.693	-695.801
